기준년도,구,업종,3월(억원),4월(억원),5월(억원),6월(억원),7월(억원)
2019년,동구,건축관련업,5.6,5.6,6.6,5.6,6.4
2019년,동구,관광여행,0.1,0.1,0.1,0.1,0.1
2019년,동구,기타유통,0.3,0.4,0.5,0.2,0.2
2019년,동구,기타제조/도매,1,0.4,0.8,0.9,0.7
2019년,동구,레저/스포츠,15.7,15.8,17,13.6,11.5
2019년,동구,문화/취미,24.5,11.3,13.4,11.9,9.9
2019년,동구,미용,30,27.3,28.9,27.8,27.4
2019년,동구,사무기기,0.6,0.5,0.5,0.4,0.4
2019년,동구,소매,184.2,177.5,187.9,182.9,176.7
2019년,동구,수리서비스,0.1,0.1,0.1,0.1,0.2
2019년,동구,숙박,5.7,5.8,6.1,5.6,5.2
2019년,동구,신변잡화,22.7,19.7,24.9,22.2,18.8
2019년,동구,악기,,,,7.5,
2019년,동구,연료판매,0.1,,,,
2019년,동구,용역서비스,7.2,8,7.8,,8.4
2019년,동구,운송기구판매,0.2,0.3,0.1,0.3,0.1
2019년,동구,유아교육기관,12,11.6,12.4,12.4,12.7
2019년,동구,유흥,4.7,4.4,5.1,4.7,4.7
2019년,동구,음식료품,28.1,24.2,50.4,36,23.1
2019년,동구,의료기관/제약,83,86.3,88.5,79.1,84.4
2019년,동구,의류,18,17,21.8,17.1,15.6
2019년,동구,일반음식점,257.3,241.6,262.7,241.6,236.5
2019년,동구,자동차정비/유지,23.5,25.2,24.8,25.2,26.1
2019년,동구,전자상거래,4.3,,3.5,2.9,
2019년,동구,전자제품,2.5,3.6,12.8,4,4.1
2019년,동구,주방용품,0.2,0.2,0.3,0.3,0.2
2019년,동구,주유,13.9,15.2,16.3,16.8,18.4
2019년,동구,직물/침구류,3.7,3.8,4.4,4.7,4.3
2019년,동구,학습자재,3,2.4,2.5,2.1,
2019년,동구,학원,3.9,2.9,3.6,4.1,2.4
2019년,동구,회비,,,,,3.4
2019년,동구,휴게음식점,50.4,51.4,55.7,53,50.3
2019년,중구,가구,8.2,10.8,8,4.5,5.5
2019년,중구,가례서비스,,0.2,,0.1,0.1
2019년,중구,건축관련업,4.4,4.5,6.1,6.2,4.9
2019년,중구,기타유통,1.3,1.8,1,0.1,1
2019년,중구,기타제조/도매,0.1,0.2,0.2,,0.2
2019년,중구,대형유통,116.8,97.8,119.4,103.4,96.5
2019년,중구,레저/스포츠,14.9,14.7,18.7,15.3,11.6
2019년,중구,문화/취미,10.2,7.1,9.2,7.5,7.6
2019년,중구,미용,24.6,24,27.5,24.7,24.6
2019년,중구,보험,,,0.2,0.1,
2019년,중구,사무기기,0.5,0.4,0.6,0.5,0.5
2019년,중구,소매,124.6,122,129.7,123.6,121.8
2019년,중구,숙박,10,9.5,9.9,9.9,8.9
2019년,중구,신변잡화,11.2,9.7,11,11,10.5
2019년,중구,용역서비스,1.9,2.2,2,2.7,1.2
2019년,중구,운송기구판매,0.2,,0.1,0.1,0.1
2019년,중구,유아교육기관,11.2,10.2,9.9,12.3,10.3
2019년,중구,유흥,12.2,13.4,13.4,14.4,14.6
2019년,중구,음식료품,25.4,29.4,30,27.2,26.4
2019년,중구,의료기관/제약,100.5,107.3,112.2,102.8,111.1
2019년,중구,의류,47.7,41.7,51.8,41.9,39.2
2019년,중구,일반음식점,344.4,325.2,359,339.7,347.3
2019년,중구,자동차정비/유지,18.1,19,22.5,21.6,20.5
2019년,중구,전자제품,2.1,2.1,2.9,3.7,4.8
2019년,중구,주방용품,0.3,0.3,1.1,0.8,0.9
2019년,중구,주유,47.2,47.1,50.7,48.8,50.8
2019년,중구,직물/침구류,0.6,0.5,1.2,0.2,0.3
2019년,중구,학습자재,1.7,0.6,0.6,0.5,2.2
2019년,중구,학원,9.6,8,10.5,8.2,9.7
2019년,중구,회비,,0.1,,,
2019년,중구,휴게음식점,108.7,100.9,106.6,105.1,106.4
2019년,서구,가구,14.4,8.8,18.1,7.3,10.1
2019년,서구,가례서비스,0.6,0.5,0.4,0.2,0.1
2019년,서구,건축관련업,4,1.8,3.9,2.8,2.9
2019년,서구,기타유통,0.1,0.2,0.2,0.1,0.1
2019년,서구,기타제조/도매,1,1.3,1.4,1,1
